,months_as_customer,age,policy_number,policy_bind_date,policy_csl,policy_deductable,policy_annual_premium,insured_zip,insured_education_level,insured_occupation,capital-gains,capital-loss,incident_date,incident_severity,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_model,auto_year,fraud_reported,policy_state_IN,policy_state_OH,insured_sex_MALE,insured_hobbies_basketball,insured_hobbies_board-games,insured_hobbies_bungie-jumping,insured_hobbies_camping,insured_hobbies_chess,insured_hobbies_cross-fit,insured_hobbies_dancing,insured_hobbies_exercise,insured_hobbies_golf,insured_hobbies_hiking,insured_hobbies_kayaking,insured_hobbies_movies,insured_hobbies_paintball,insured_hobbies_polo,insured_hobbies_reading,insured_hobbies_skydiving,insured_hobbies_sleeping,insured_hobbies_video-games,insured_hobbies_yachting,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Front Collision,collision_type_Rear Collision,collision_type_Side Collision,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police,incident_state_NY,incident_state_OH,incident_state_PA,incident_state_SC,incident_state_VA,incident_state_WV,auto_make_Audi,auto_make_BMW,auto_make_Chevrolet,auto_make_Dodge,auto_make_Ford,auto_make_Honda,auto_make_Jeep,auto_make_Mercedes,auto_make_Nissan,auto_make_Saab,auto_make_Suburu,auto_make_Toyota,auto_make_Volkswagen
10,235,42.0,543610,26-05-2002,0,500,1253.12,462283,5,76,38400,0,06-01-2015,2,145,1558 1st Ridge,22,1,2,2,2,0,87010.0,7910,15820.0,63280,27,2002,N,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,447,61.0,214618,29-05-1999,0,2000,1137.16,615561,2,76,0,-51000,15-02-2015,0,157,5971 5th Hwy,21,3,2,1,2,2,113762.5,17680,17680.0,79560,37,2006,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,60,23.0,842643,20-11-1997,2,500,1215.36,432220,4,63,0,0,22-01-2015,2,145,6655 5th Drive,9,1,2,1,0,1,56520.0,4710,9420.0,42390,27,2000,N,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,121,34.0,626808,26-10-2012,0,1000,936.61,464652,4,69,52800,-32800,08-01-2015,1,157,6582 Elm Lane,5,1,1,1,1,1,7280.0,1120,1120.0,5040,22,2010,N,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,180,38.0,644081,28-12-1998,1,2000,1301.13,476685,1,93,41300,-55500,15-01-2015,2,157,6851 3rd Drive,12,1,1,0,2,2,46200.0,4200,8400.0,33600,37,2003,Y,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,473,58.0,892874,19-10-1992,0,2000,1131.4,458733,4,72,55700,0,29-01-2015,0,141,9573 Weaver Ave,12,4,2,0,0,1,63120.0,10520,10520.0,42080,36,1999,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,70,26.0,558938,08-06-2005,2,1000,1199.44,619884,1,93,63600,0,22-02-2015,0,134,5074 3rd St,0,3,0,1,2,2,52110.0,5790,5790.0,40530,24,2012,N,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,140,31.0,275265,15-11-2004,2,500,708.64,470610,2,93,53500,0,06-01-2015,2,145,4546 Tree St,9,1,1,0,2,2,77880.0,14160,7080.0,56640,32,2015,N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
18,160,37.0,921202,28-12-2014,2,500,1374.22,472135,4,74,45500,-37800,19-01-2015,2,122,3842 Solo Ridge,19,1,2,1,0,1,72930.0,6630,13260.0,53040,20,2015,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,196,39.0,143972,02-08-1992,2,2000,1475.73,477670,2,54,57000,-27300,22-02-2015,0,149,8101 3rd Ridge,8,3,0,2,0,1,60400.0,6040,6040.0,48320,31,2014,N,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,460,62.0,183430,25-06-2002,1,1000,1187.96,618845,3,71,0,0,01-01-2015,1,149,5380 Pine St,20,3,1,1,0,0,47160.0,0,5240.0,41920,20,2011,N,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,217,41.0,431876,27-11-2005,2,2000,875.15,442479,0,93,46700,0,10-02-2015,2,152,8957 Weaver Drive,15,3,0,1,2,0,37840.0,0,4730.0,33110,12,1996,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,370,55.0,285496,27-05-1994,0,2000,972.18,443920,2,85,72700,-68200,11-01-2015,0,141,2526 Embaracadero Ave,20,3,1,0,0,2,71520.0,17880,5960.0,47680,28,2000,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,413,55.0,115399,08-02-1991,0,2000,1268.79,453148,4,71,0,-31000,19-01-2015,2,145,5667 4th Drive,15,1,0,2,2,0,98160.0,8180,16360.0,73620,43,2011,Y,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
24,237,40.0,736882,02-02-1996,0,1000,883.31,434733,1,74,0,-53500,24-02-2015,1,134,2502 Apache Hwy,6,1,1,1,3,1,77880.0,7080,14160.0,56640,24,2005,N,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,8,35.0,699044,05-12-2013,0,2000,1266.92,613982,5,76,0,0,09-01-2015,0,152,3418 Texas Lane,16,3,1,1,3,2,71500.0,16500,11000.0,44000,24,2006,Y,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,257,43.0,863236,20-09-1990,0,2000,1322.1,436984,2,85,0,-29200,28-01-2015,1,152,2533 Elm St,4,1,2,1,3,2,9020.0,1640,820.0,6560,28,2005,N,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,202,34.0,608513,18-07-2002,0,500,848.07,607730,3,76,31000,-30200,07-01-2015,1,122,3790 Andromedia Hwy,5,1,2,2,1,0,5720.0,1040,520.0,4160,28,2003,Y,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,224,40.0,914088,08-02-1990,0,2000,1291.7,609837,3,76,0,-55600,08-01-2015,1,145,3220 Rock Drive,21,1,1,1,0,2,69840.0,7760,15520.0,46560,37,2009,N,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,241,45.0,596785,04-03-2014,2,2000,1104.5,432211,6,93,0,0,15-02-2015,1,122,2100 Francis Drive,5,1,1,2,2,1,91650.0,14100,14100.0,63450,20,2011,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,64,25.0,908616,18-02-2000,1,1000,954.16,473328,5,85,53200,0,18-01-2015,0,149,4687 5th Drive,22,4,1,0,0,0,75600.0,12600,12600.0,50400,20,2005,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,166,37.0,666333,19-06-2008,0,2000,1337.28,610393,3,74,27500,0,28-02-2015,0,134,9038 2nd Lane,10,3,1,2,2,0,67140.0,7460,7460.0,52220,27,2006,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
32,155,35.0,336614,01-08-2003,2,1000,1088.34,614780,0,65,81100,0,24-02-2015,2,152,6092 5th Ave,16,3,2,2,3,1,29790.0,3310,3310.0,23170,18,2008,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,114,30.0,584859,04-04-1992,0,1000,1558.29,472248,2,53,51400,-64000,09-01-2015,0,141,8353 Britain Ridge,1,3,1,1,2,0,77110.0,14020,14020.0,49070,20,2015,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,149,37.0,990493,13-01-1991,2,500,1415.68,603381,6,85,0,0,12-02-2015,2,141,3540 Maple St,17,1,2,0,1,2,64800.0,10800,5400.0,48600,37,1999,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35,147,33.0,129872,08-08-2010,0,1000,1334.15,479224,2,74,53300,-49200,24-01-2015,0,157,3104 Sky Drive,15,1,2,2,0,2,53100.0,10620,5310.0,37170,18,1995,Y,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
36,62,28.0,200152,09-03-2003,0,1000,988.45,430141,5,63,0,0,09-01-2015,2,122,4981 Weaver St,3,1,0,1,1,2,60200.0,6020,6020.0,48160,28,2004,Y,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,289,49.0,933293,03-02-1993,2,2000,1222.48,620757,3,71,0,0,18-01-2015,1,152,6676 Tree Lane,16,1,1,1,1,2,5330.0,1230,820.0,3280,32,2001,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
38,431,54.0,485664,25-11-2002,2,2000,1155.55,615901,4,74,65700,0,21-01-2015,0,141,3930 Embaracadero St,4,3,0,2,0,0,62300.0,12460,6230.0,43610,42,2007,N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,199,37.0,982871,27-07-1997,1,500,1262.08,474615,3,78,48500,0,08-01-2015,0,149,3422 Flute St,4,1,0,0,3,1,60170.0,10940,10940.0,38290,31,2011,Y,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,79,26.0,206213,08-05-1995,0,500,1451.62,456446,0,78,0,-55700,03-01-2015,1,149,4862 Lincoln Hwy,19,1,1,2,2,0,40000.0,8000,4000.0,28000,15,2010,N,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
41,116,34.0,616337,30-08-2012,1,500,1737.66,470577,0,72,0,-24100,01-01-2015,0,122,5719 2nd Lane,1,1,0,1,1,0,97080.0,16180,16180.0,64720,23,2001,Y,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
42,37,23.0,448961,30-04-2006,2,500,1475.93,441648,1,85,0,-67400,16-01-2015,1,157,3221 Solo Ridge,17,3,2,1,0,1,51660.0,5740,5740.0,40180,43,2010,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,106,30.0,790442,13-04-2003,1,500,600.4762499999999,433782,6,72,49700,-60200,10-02-2015,2,152,6660 MLK Drive,23,1,1,2,2,1,51120.0,5680,5680.0,39760,27,2005,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,269,44.0,108844,05-12-2007,0,2000,1081.08,468104,3,71,36400,-28700,14-02-2015,1,157,1699 Oak Drive,14,1,2,0,2,0,56400.0,11280,11280.0,33840,22,2014,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,265,40.0,430029,21-08-2006,1,1000,1454.43,459407,4,63,0,0,21-02-2015,2,152,4234 Cherokee Lane,17,3,1,2,3,0,55120.0,6890,0.0,48230,36,2002,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,163,33.0,529112,08-01-1990,0,500,1240.47,472573,0,71,35300,0,18-02-2015,2,145,7476 4th St,11,3,2,1,1,0,77110.0,0,14020.0,63090,22,2014,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,355,47.0,939631,18-03-1990,2,2000,1273.7,433473,1,71,0,0,10-01-2015,0,152,8907 Tree Ave,19,3,1,2,1,1,62800.0,6280,6280.0,50240,37,2003,Y,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
48,175,34.0,866931,07-01-2008,2,1000,1123.87,446326,6,63,0,0,26-02-2015,3,152,6619 Flute Ave,5,1,0,2,0,2,7290.0,810,810.0,5670,33,1995,N,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,192,35.0,582011,10-03-1997,0,1000,1245.89,435481,5,76,0,-40300,01-01-2015,2,157,6011 Britain St,19,1,1,0,0,0,76600.0,15320,7660.0,53620,18,2000,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
50,430,59.0,691189,10-01-2004,1,2000,1326.62,477310,4,71,0,0,03-01-2015,1,134,5104 Francis Drive,19,3,0,0,3,2,81800.0,16360,8180.0,57260,31,1998,N,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,91,27.0,537546,20-08-1994,0,2000,1073.83,609930,3,53,0,0,17-01-2015,3,152,2280 4th Ave,4,1,0,1,2,0,7260.0,1320,660.0,5280,15,2008,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,217,39.0,394975,02-06-2002,0,1000,1530.52,603993,1,69,0,0,22-02-2015,1,145,2644 Elm Drive,8,1,0,2,1,2,4300.0,430,430.0,3440,20,2000,N,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
53,223,40.0,729634,28-04-1994,0,500,1201.41,437818,3,71,88400,-46500,27-01-2015,0,149,7466 MLK Ridge,7,3,2,1,0,0,70510.0,12820,12820.0,44870,28,1999,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,195,39.0,282195,17-08-2014,1,1000,1393.57,478423,6,93,47600,-39600,27-02-2015,1,145,5821 2nd St,5,1,1,0,1,2,2640.0,480,480.0,1680,27,2009,N,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,22,26.0,420810,11-08-2007,0,1000,1276.57,467784,6,74,71500,0,06-01-2015,1,152,6723 Best Drive,3,1,2,1,2,1,78900.0,15780,7890.0,55230,22,1995,N,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,439,56.0,524836,20-11-2008,1,500,1082.49,606714,6,85,36100,-55000,28-02-2015,0,149,4866 4th Hwy,12,3,0,2,3,0,56430.0,0,6270.0,50160,20,2014,N,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,94,32.0,307195,18-10-1995,2,1000,1414.74,464691,5,65,0,0,22-02-2015,1,134,5418 Britain Ave,19,1,1,1,3,1,2400.0,300,300.0,1800,22,2014,N,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,11,39.0,623648,19-05-1993,1,2000,1470.06,431683,6,71,56600,-45800,07-01-2015,2,134,4296 Pine Hwy,22,1,2,0,1,1,65790.0,7310,7310.0,51170,25,2007,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
